"ntau","D","pe"
17900,1,0
18000,1,0
18100,1,0
18200,1,0
18300,1,0
18400,1,0
18500,1,0
18600,1,0
18700,1,0
18800,1,0
18900,1,0
19000,1,0
19100,1,0
19200,1,0
19300,1,0
19400,1,0
19500,1,0
19600,1,0
19700,1,0
19800,1,0
19900,1,0
20000,1,0
20100,1,0
20200,1,0
20300,1,0
20400,1,0
20500,1,0
20600,1,0
20700,1,0
20800,1,0
20900,1,0
21000,1,0
21100,1,0
21200,1,0
21300,1,0
21400,1,0
21500,1,0
21600,1,0
21700,1,0
21800,1,0
21900,1,0
22000,1,0
22100,1,0
22200,1,0
22300,1,0
22400,1,0
22500,1,0
22600,1,0
22700,1,0
22800,1,0
22900,1,0
23000,1,0
23100,1,0
23200,1,0
23300,1,0
23400,1,0
23500,1,0
23600,1,0
23700,1,0
23800,1,0
23900,1,0
24000,1,0
24100,1,0
24200,1,0
24300,1,0
24400,1,0
24500,1,0
24600,1,0
24700,1,0
24800,1,0
24900,1,0
25000,1,0
25100,1,0
25200,1,0
25300,1,0
25400,1,0
25500,1,0
25600,1,0
25700,1,0
25800,1,0
25900,1,0
26000,1,0
26100,1,0
26200,1,0
26300,1,0
26400,1,0
26500,1,0
26600,1,0
26700,1,0
26800,1,0
26900,1,0
27000,1,0
27100,1,0
27200,1,0
27300,1,0
27400,1,0
27500,1,0
27600,1,0
27700,1,0
27800,1,0
27900,1,0
28000,1,0
28100,1,0
28200,1,0
28300,1,0
28400,1,0
28500,1,0
28600,1,0
28700,1,0
28800,1,0
28900,1,0
29000,1,0
29100,1,0
29200,1,0
29300,1,0
29400,1,0
29500,1,0
29600,1,0
29700,1,0
29800,1,0
29900,1,0
30000,1,0
30100,1,0
30200,1,0
30300,1,0
30400,1,0
30500,1,0
30600,1,0
30700,1,0
30800,1,0
30900,1,0
31000,1,0
31100,1,0
31200,1,0
31300,1,0
31400,1,0
31500,1,0
31600,1,0
31700,1,0
31800,1,0
31900,1,0
32000,1,0
32100,1,0
32200,1,0
32300,1,0
32400,1,0
32500,1,0
32600,1,0
32700,1,0
32800,1,0
32900,1,0
33000,1,0
33100,1,0
33200,1,0
33300,1,0
33400,1,0
33500,1,0
33600,1,0
33700,1,0
33800,1,0
33900,1,0
34000,1,0
34100,1,0
34200,1,0
34300,1,0
34400,1,0
34500,1,0
34600,1,0
34700,1,0
34800,1,0
34900,1,0
35000,1,0
35100,1,0
35200,1,0
35300,1,0
35400,1,0
35500,1,0
35600,1,0
35700,1,0
35800,1,0
35900,1,0
36000,1,0
36100,1,0
36200,1,0
36300,1,0
36400,1,0
36500,1,0
36600,1,0
36700,1,0
36800,1,0
36900,1,0
37000,1,0
37100,1,0
37200,1,0
37300,1,0
37400,1,0
37500,1,0
37600,1,0
37700,1,0
37800,1,0
37900,1,0
38000,1,0
38100,1,0
38200,1,0
38300,1,0
38400,1,0
38500,1,0
38600,1,0
38700,1,0
38800,1,0
38900,1,0
39000,1,0
39100,1,0
39200,1,0
39300,1,0
39400,1,0
39500,1,0
39600,1,0
39700,1,0
39800,1,0
39900,1,0
40000,1,0
40100,1,0
40200,1,0
40300,1,0
40400,1,0
40500,1,0
40600,1,0
40700,1,0
40800,1,0
40900,1,0
41000,1,0
41100,1,0
41200,1,0
41300,1,0
41400,1,0
41500,1,0
41600,1,0
41700,1,0
41800,1,0
41900,1,0
42000,1,0
42100,1,0.618542316193854
42200,1,0.628832037409894
42300,1,0.634981075536227
42400,1,0.640227782170099
42500,1,0.644191662768125
42600,1,0.647491281173564
42700,1,0.6501950566954
42800,1,0.652784715422406
42900,1,0.655261006718608
43000,1,0.6572386483872
43100,1,0.659138410832501
43200,1,0.660960736939958
43300,1,0.662706313837563
43400,1,0.664047727610207
43500,1,0.665656057211453
43600,1,0.666888245874152
43700,1,0.668072255290188
43800,1,0.669208308008034
43900,1,0.670029131061827
44000,1,0.671081787302683
44100,1,0.67208708782882
44200,1,0.672810114678658
44300,1,0.67373305501266
44400,1,0.674394552513509
44500,1,0.675235770049705
44600,1,0.675836209266041
44700,1,0.676410621117224
44800,1,0.67695908803402
44900,1,0.677481691090632
45000,1,0.677978509950477
45100,1,0.678449747501685
45200,1,0.678895229707558
45300,1,0.679315157728863
45400,1,0.679709605068808
45500,1,0.680078518110656
45600,1,0.680422217315036
45700,1,0.680740646184073
45800,1,0.680938925973019
45900,1,0.681215384649967
46000,1,0.681466746404211
46100,1,0.681620408654199
46200,1,0.681830078049728
46300,1,0.681956000179889
46400,1,0.682124139107449
46500,1,0.682267433558872
46600,1,0.682349186876353
46700,1,0.68242006168386
46800,1,0.682505586022953
46900,1,0.682548890111734
47000,1,0.682593312111473
47100,1,0.682609256431726
47200,1,0.682614279153537
47300,1,0.682601361534955
47400,1,0.682579132108483
47500,1,0.682546021366238
47600,1,0.682475975576212
47700,1,0.682415706359932
47800,1,0.682344590450334
47900,1,0.682262636678111
48000,1,0.682169853395896
48100,1,0.682010390227311
48200,1,0.681890566546008
48300,1,0.681759938777239
48400,1,0.681618513082684
48500,1,0.681466420183944
48600,1,0.681303414157507
48700,1,0.681129625713725
48800,1,0.680944933639554
48900,1,0.680749592032859
49000,1,0.680543478981818
49100,1,0.680326597125088
49200,1,0.680098948588037
49300,1,0.679860534980498
49400,1,0.679611357394615
49500,1,0.679351416402769
49600,1,0.679080712055597
49700,1,0.678799243880094
49800,1,0.678507010877808
49900,1,0.678204011523121
50000,1,0.677890243761619
0,1.02,0
100,1.02,0
200,1.02,0
300,1.02,0
400,1.02,0
500,1.02,0
600,1.02,0
700,1.02,0
800,1.02,0
900,1.02,0
1000,1.02,0
1100,1.02,0
1200,1.02,0
1300,1.02,0
1400,1.02,0
1500,1.02,0
1600,1.02,0
1700,1.02,0
1800,1.02,0
1900,1.02,0
2000,1.02,0
2100,1.02,0
2200,1.02,0
2300,1.02,0
2400,1.02,0
2500,1.02,0
2600,1.02,0
2700,1.02,0
2800,1.02,0
2900,1.02,0
3000,1.02,0
3100,1.02,0
3200,1.02,0
3300,1.02,0
3400,1.02,0
3500,1.02,0
3600,1.02,0
3700,1.02,0
3800,1.02,0
3900,1.02,0
4000,1.02,0
4100,1.02,0
4200,1.02,0
4300,1.02,0
4400,1.02,0
4500,1.02,0
4600,1.02,0
4700,1.02,0
4800,1.02,0
4900,1.02,0
5000,1.02,0
5100,1.02,0
5200,1.02,0
5300,1.02,0
5400,1.02,0
5500,1.02,0
5600,1.02,0
5700,1.02,0
5800,1.02,0
5900,1.02,0
6000,1.02,0
6100,1.02,0
6200,1.02,0
6300,1.02,0
6400,1.02,0
6500,1.02,0
6600,1.02,0
6700,1.02,0
6800,1.02,0
6900,1.02,0
7000,1.02,0
7100,1.02,0
7200,1.02,0
7300,1.02,0
7400,1.02,0
7500,1.02,0
7600,1.02,0
7700,1.02,0
7800,1.02,0
7900,1.02,0
8000,1.02,0
8100,1.02,0
8200,1.02,0
8300,1.02,0
8400,1.02,0
8500,1.02,0
8600,1.02,0
8700,1.02,0
8800,1.02,0
8900,1.02,0
9000,1.02,0
9100,1.02,0
9200,1.02,0
9300,1.02,0
9400,1.02,0
9500,1.02,0
9600,1.02,0
9700,1.02,0
9800,1.02,0
9900,1.02,0
10000,1.02,0
10100,1.02,0
10200,1.02,0
10300,1.02,0
10400,1.02,0
10500,1.02,0
10600,1.02,0
10700,1.02,0
10800,1.02,0
10900,1.02,0
11000,1.02,0
11100,1.02,0
11200,1.02,0
11300,1.02,0
11400,1.02,0
11500,1.02,0
11600,1.02,0
11700,1.02,0
11800,1.02,0
11900,1.02,0
12000,1.02,0
12100,1.02,0
12200,1.02,0
12300,1.02,0
12400,1.02,0
12500,1.02,0
12600,1.02,0
12700,1.02,0
12800,1.02,0
12900,1.02,0
13000,1.02,0
13100,1.02,0
13200,1.02,0
13300,1.02,0
13400,1.02,0
13500,1.02,0
13600,1.02,0
13700,1.02,0
13800,1.02,0
13900,1.02,0
14000,1.02,0
14100,1.02,0
14200,1.02,0
14300,1.02,0
14400,1.02,0
14500,1.02,0
14600,1.02,0
14700,1.02,0
14800,1.02,0
14900,1.02,0
15000,1.02,0
15100,1.02,0
15200,1.02,0
15300,1.02,0
15400,1.02,0
15500,1.02,0
15600,1.02,0
15700,1.02,0
15800,1.02,0
15900,1.02,0
16000,1.02,0
16100,1.02,0
16200,1.02,0
16300,1.02,0
16400,1.02,0
16500,1.02,0
16600,1.02,0
16700,1.02,0
16800,1.02,0
16900,1.02,0
17000,1.02,0
17100,1.02,0
17200,1.02,0
17300,1.02,0
17400,1.02,0
17500,1.02,0
17600,1.02,0
17700,1.02,0
17800,1.02,0
17900,1.02,0
18000,1.02,0
18100,1.02,0
18200,1.02,0
18300,1.02,0
18400,1.02,0
18500,1.02,0
18600,1.02,0
18700,1.02,0
18800,1.02,0
18900,1.02,0
19000,1.02,0
19100,1.02,0
19200,1.02,0
19300,1.02,0
19400,1.02,0
19500,1.02,0
19600,1.02,0
19700,1.02,0
19800,1.02,0
19900,1.02,0
20000,1.02,0
20100,1.02,0
20200,1.02,0
20300,1.02,0
20400,1.02,0
20500,1.02,0
20600,1.02,0
20700,1.02,0
20800,1.02,0
20900,1.02,0
21000,1.02,0
21100,1.02,0
21200,1.02,0
21300,1.02,0
21400,1.02,0
21500,1.02,0
21600,1.02,0
21700,1.02,0
21800,1.02,0
21900,1.02,0
22000,1.02,0
22100,1.02,0
22200,1.02,0
22300,1.02,0
22400,1.02,0
22500,1.02,0
22600,1.02,0
22700,1.02,0
22800,1.02,0
22900,1.02,0
23000,1.02,0
23100,1.02,0
23200,1.02,0
23300,1.02,0
23400,1.02,0
23500,1.02,0
23600,1.02,0
23700,1.02,0
23800,1.02,0
23900,1.02,0
24000,1.02,0
24100,1.02,0
24200,1.02,0
24300,1.02,0
24400,1.02,0
24500,1.02,0
24600,1.02,0
24700,1.02,0
24800,1.02,0
24900,1.02,0
25000,1.02,0
25100,1.02,0
25200,1.02,0
25300,1.02,0
25400,1.02,0
25500,1.02,0
25600,1.02,0
25700,1.02,0
25800,1.02,0
25900,1.02,0
26000,1.02,0
26100,1.02,0
26200,1.02,0
26300,1.02,0
26400,1.02,0
26500,1.02,0
26600,1.02,0
26700,1.02,0
26800,1.02,0
26900,1.02,0
27000,1.02,0
27100,1.02,0
27200,1.02,0
27300,1.02,0
27400,1.02,0
27500,1.02,0
27600,1.02,0
27700,1.02,0
27800,1.02,0
27900,1.02,0
28000,1.02,0
28100,1.02,0
28200,1.02,0
28300,1.02,0
28400,1.02,0
28500,1.02,0
28600,1.02,0
28700,1.02,0
28800,1.02,0
28900,1.02,0
29000,1.02,0
29100,1.02,0
29200,1.02,0
29300,1.02,0
29400,1.02,0
29500,1.02,0
29600,1.02,0
29700,1.02,0
29800,1.02,0
29900,1.02,0
30000,1.02,0
30100,1.02,0
30200,1.02,0
30300,1.02,0
30400,1.02,0
30500,1.02,0
30600,1.02,0
30700,1.02,0
30800,1.02,0
30900,1.02,0
31000,1.02,0
31100,1.02,0
31200,1.02,0
31300,1.02,0
31400,1.02,0
31500,1.02,0
31600,1.02,0
31700,1.02,0
31800,1.02,0
31900,1.02,0
32000,1.02,0
32100,1.02,0
32200,1.02,0
32300,1.02,0
32400,1.02,0
32500,1.02,0
32600,1.02,0
32700,1.02,0
32800,1.02,0
32900,1.02,0
33000,1.02,0
33100,1.02,0
33200,1.02,0
33300,1.02,0
33400,1.02,0
33500,1.02,0
33600,1.02,0
33700,1.02,0
33800,1.02,0
33900,1.02,0
34000,1.02,0
34100,1.02,0
34200,1.02,0
34300,1.02,0
34400,1.02,0
34500,1.02,0
34600,1.02,0
34700,1.02,0
34800,1.02,0
34900,1.02,0
35000,1.02,0
35100,1.02,0
35200,1.02,0
35300,1.02,0
35400,1.02,0
35500,1.02,0
35600,1.02,0
35700,1.02,0
35800,1.02,0
35900,1.02,0
36000,1.02,0
36100,1.02,0
36200,1.02,0
36300,1.02,0
36400,1.02,0
36500,1.02,0
36600,1.02,0
36700,1.02,0
36800,1.02,0
36900,1.02,0
37000,1.02,0
37100,1.02,0.6406083165906
37200,1.02,0.655412107662788
37300,1.02,0.662089161761013
37400,1.02,0.667289158587975
37500,1.02,0.6712134301293
37600,1.02,0.674930028289996
37700,1.02,0.677582299876752
37800,1.02,0.680531461560838
37900,1.02,0.682542793345773
38000,1.02,0.684852489734767
38100,1.02,0.686691195749227
38200,1.02,0.688452175989647
38300,1.02,0.690135890722409
38400,1.02,0.691427538637682
38500,1.02,0.692670261386236
38600,1.02,0.694155211580205
38700,1.02,0.695288687700155
38800,1.02,0.696373977458108
38900,1.02,0.697411302225834
39000,1.02,0.69815795008939
39100,1.02,0.69911185870126
39200,1.02,0.70001839322292
39300,1.02,0.700667329894577
39400,1.02,0.701491456649554
39500,1.02,0.702078819423012
39600,1.02,0.702639932134082
39700,1.02,0.703347516951808
39800,1.02,0.703847690475735
39900,1.02,0.704321877709288
40000,1.02,0.704770154116472
40100,1.02,0.705192593378315
40200,1.02,0.705589267343164
40300,1.02,0.705960245978125
40400,1.02,0.706305597321631
40500,1.02,0.70662538743712
40600,1.02,0.706824411875968
40700,1.02,0.707101741245345
40800,1.02,0.707353544840601
40900,1.02,0.707580141898135
41000,1.02,0.707717158584787
41100,1.02,0.707901781639954
41200,1.02,0.708010777772143
41300,1.02,0.708153311844879
41400,1.02,0.708270736905251
41500,1.02,0.708335093828386
41600,1.02,0.708410772425463
41700,1.02,0.708447338616597
41800,1.02,0.708472809865671
41900,1.02,0.708490238687664
42000,1.02,0.70848802170496
42100,1.02,0.708463967532716
42200,1.02,0.708434126303816
42300,1.02,0.708393251533619
42400,1.02,0.708311269872265
42500,1.02,0.708242847170597
42600,1.02,0.708163418306057
42700,1.02,0.708072989928549
42800,1.02,0.707916866561832
42900,1.02,0.70779896400588
43000,1.02,0.707670081038657
43100,1.02,0.707530221908006
43200,1.02,0.707379390318862
43300,1.02,0.707217589430105
43400,1.02,0.706954326218167
43500,1.02,0.706765112289575
43600,1.02,0.706564935773773
43700,1.02,0.706353797335647
43800,1.02,0.706131566853552
43900,1.02,0.705898503953405
44000,1.02,0.705654477744636
44100,1.02,0.705399486629135
44200,1.02,0.705133528436906
44300,1.02,0.704856600423779
44400,1.02,0.70456869926921
44500,1.02,0.704269821074161
44600,1.02,0.70395996135907
44700,1.02,0.703639115061907
44800,1.02,0.703474570203435
44900,1.02,0.703137362253658
45000,1.02,0.702789022466494
45100,1.02,0.702429673773802
45200,1.02,0.702059308470717
45300,1.02,0.7016779182608
45400,1.02,0.701285494254677
45500,1.02,0.700882026968777
45600,1.02,0.70067614896953
45700,1.02,0.700256097679611
45800,1.02,0.699824976793947
45900,1.02,0.699382774740716
46000,1.02,0.698929479349415
46100,1.02,0.698698667684825
46200,1.02,0.698228708155366
46300,1.02,0.69774762223788
46400,1.02,0.697255395661495
46500,1.02,0.697005100002213
46600,1.02,0.696496134364629
46700,1.02,0.695975989760685
46800,1.02,0.695711720252477
46900,1.02,0.695174776306965
47000,1.02,0.694626611328679
47100,1.02,0.694348315388606
47200,1.02,0.693783412781846
47300,1.02,0.693207114608935
47400,1.02,0.692914734421328
47500,1.02,0.692321499450318
47600,1.02,0.6917169480569
47700,1.02,0.691410294755583
47800,1.02,0.690788729109701
47900,1.02,0.690473684022571
48000,1.02,0.689835055429753
48100,1.02,0.68918502332931
48200,1.02,0.688855723718551
48300,1.02,0.68818854256171
48400,1.02,0.687850654979123
48500,1.02,0.687166270438002
48600,1.02,0.686470385810003
48700,1.02,0.686118122981371
48800,1.02,0.685404940010942
48900,1.02,0.685044013246279
49000,1.02,0.684313472328521
49100,1.02,0.683943851334991
49200,1.02,0.683195890906973
49300,1.02,0.682817544415954
49400,1.02,0.682052100969994
49500,1.02,0.681664996744049
49600,1.02,0.680882004842308
49700,1.02,0.680486109682804
49800,1.02,0.679685501973195
49900,1.02,0.679280906604916
50000,1.02,0.678462612738635
0,1.04,0
100,1.04,0
200,1.04,0
300,1.04,0
400,1.04,0
500,1.04,0
600,1.04,0
700,1.04,0
800,1.04,0
900,1.04,0
1000,1.04,0
1100,1.04,0
1200,1.04,0
1300,1.04,0
1400,1.04,0
1500,1.04,0
1600,1.04,0
1700,1.04,0
1800,1.04,0
1900,1.04,0
2000,1.04,0
2100,1.04,0
2200,1.04,0
2300,1.04,0
2400,1.04,0
2500,1.04,0
2600,1.04,0
2700,1.04,0
2800,1.04,0
2900,1.04,0
3000,1.04,0
3100,1.04,0
3200,1.04,0
3300,1.04,0
3400,1.04,0
3500,1.04,0
3600,1.04,0
3700,1.04,0
3800,1.04,0
3900,1.04,0
4000,1.04,0
4100,1.04,0
4200,1.04,0
4300,1.04,0
4400,1.04,0
4500,1.04,0
4600,1.04,0
4700,1.04,0
4800,1.04,0
4900,1.04,0
5000,1.04,0
5100,1.04,0
5200,1.04,0
5300,1.04,0
5400,1.04,0
5500,1.04,0
5600,1.04,0
5700,1.04,0
5800,1.04,0
5900,1.04,0
6000,1.04,0
6100,1.04,0
6200,1.04,0
6300,1.04,0
6400,1.04,0
6500,1.04,0
6600,1.04,0
6700,1.04,0
6800,1.04,0
6900,1.04,0
7000,1.04,0
7100,1.04,0
7200,1.04,0
7300,1.04,0
7400,1.04,0
7500,1.04,0
7600,1.04,0
7700,1.04,0
7800,1.04,0
7900,1.04,0
8000,1.04,0
8100,1.04,0
8200,1.04,0
8300,1.04,0
8400,1.04,0
8500,1.04,0
8600,1.04,0
8700,1.04,0
8800,1.04,0
8900,1.04,0
9000,1.04,0
9100,1.04,0
9200,1.04,0
9300,1.04,0
9400,1.04,0
9500,1.04,0
9600,1.04,0
9700,1.04,0
9800,1.04,0
9900,1.04,0
10000,1.04,0
10100,1.04,0
10200,1.04,0
10300,1.04,0
10400,1.04,0
10500,1.04,0
10600,1.04,0
10700,1.04,0
10800,1.04,0
10900,1.04,0
11000,1.04,0
11100,1.04,0
11200,1.04,0
11300,1.04,0
11400,1.04,0
11500,1.04,0
11600,1.04,0
11700,1.04,0
11800,1.04,0
11900,1.04,0
12000,1.04,0
12100,1.04,0
12200,1.04,0
12300,1.04,0
12400,1.04,0
12500,1.04,0
12600,1.04,0
12700,1.04,0
12800,1.04,0
12900,1.04,0
13000,1.04,0
13100,1.04,0
13200,1.04,0
13300,1.04,0
13400,1.04,0
13500,1.04,0
13600,1.04,0
13700,1.04,0
13800,1.04,0
13900,1.04,0
14000,1.04,0
14100,1.04,0
14200,1.04,0
14300,1.04,0
14400,1.04,0
14500,1.04,0
14600,1.04,0
14700,1.04,0
14800,1.04,0
14900,1.04,0
15000,1.04,0
15100,1.04,0
15200,1.04,0
15300,1.04,0
15400,1.04,0
15500,1.04,0
15600,1.04,0
15700,1.04,0
15800,1.04,0
15900,1.04,0
16000,1.04,0
16100,1.04,0
16200,1.04,0
16300,1.04,0
16400,1.04,0
16500,1.04,0
16600,1.04,0
16700,1.04,0
16800,1.04,0
16900,1.04,0
17000,1.04,0
17100,1.04,0
17200,1.04,0
17300,1.04,0
17400,1.04,0
17500,1.04,0
17600,1.04,0
17700,1.04,0
17800,1.04,0
17900,1.04,0
18000,1.04,0
18100,1.04,0
18200,1.04,0
18300,1.04,0
18400,1.04,0
18500,1.04,0
18600,1.04,0
18700,1.04,0
18800,1.04,0
18900,1.04,0
19000,1.04,0
19100,1.04,0
19200,1.04,0
19300,1.04,0
19400,1.04,0
19500,1.04,0
19600,1.04,0
19700,1.04,0
19800,1.04,0
19900,1.04,0
20000,1.04,0
20100,1.04,0
20200,1.04,0
20300,1.04,0
20400,1.04,0
20500,1.04,0
20600,1.04,0
20700,1.04,0
20800,1.04,0
20900,1.04,0
21000,1.04,0
21100,1.04,0
21200,1.04,0
21300,1.04,0
21400,1.04,0
21500,1.04,0
21600,1.04,0
21700,1.04,0
21800,1.04,0
21900,1.04,0
22000,1.04,0
22100,1.04,0
22200,1.04,0
22300,1.04,0
22400,1.04,0
22500,1.04,0
22600,1.04,0
22700,1.04,0
22800,1.04,0
22900,1.04,0
23000,1.04,0
23100,1.04,0
23200,1.04,0
23300,1.04,0
23400,1.04,0
23500,1.04,0
23600,1.04,0
23700,1.04,0
23800,1.04,0
23900,1.04,0
24000,1.04,0
24100,1.04,0
24200,1.04,0
24300,1.04,0
24400,1.04,0
24500,1.04,0
24600,1.04,0
24700,1.04,0
24800,1.04,0
24900,1.04,0
25000,1.04,0
25100,1.04,0
25200,1.04,0
25300,1.04,0
25400,1.04,0
25500,1.04,0
25600,1.04,0
25700,1.04,0
25800,1.04,0
25900,1.04,0
26000,1.04,0
26100,1.04,0
26200,1.04,0
26300,1.04,0
26400,1.04,0
26500,1.04,0
26600,1.04,0
26700,1.04,0
26800,1.04,0
26900,1.04,0
27000,1.04,0
27100,1.04,0
27200,1.04,0
27300,1.04,0
27400,1.04,0
27500,1.04,0
27600,1.04,0
27700,1.04,0
27800,1.04,0
27900,1.04,0
28000,1.04,0
28100,1.04,0
28200,1.04,0
28300,1.04,0
28400,1.04,0
28500,1.04,0
28600,1.04,0
28700,1.04,0
28800,1.04,0
28900,1.04,0
29000,1.04,0
29100,1.04,0
29200,1.04,0
29300,1.04,0
29400,1.04,0
29500,1.04,0
29600,1.04,0
29700,1.04,0
29800,1.04,0
29900,1.04,0
30000,1.04,0
30100,1.04,0
30200,1.04,0
30300,1.04,0
30400,1.04,0
30500,1.04,0
30600,1.04,0
30700,1.04,0
30800,1.04,0
30900,1.04,0
31000,1.04,0
31100,1.04,0
31200,1.04,0
31300,1.04,0
31400,1.04,0
31500,1.04,0
31600,1.04,0
31700,1.04,0
31800,1.04,0
31900,1.04,0
32000,1.04,0
32100,1.04,0
32200,1.04,0
32300,1.04,0
32400,1.04,0
32500,1.04,0
32600,1.04,0
32700,1.04,0
32800,1.04,0.672081435569246
32900,1.04,0.683773631105692
33000,1.04,0.690145407487795
33100,1.04,0.695092019742383
33200,1.04,0.698814374235175
33300,1.04,0.701901445182838
33400,1.04,0.704831589755077
33500,1.04,0.707219136228929
33600,1.04,0.709493088350655
33700,1.04,0.711301868557106
33800,1.04,0.713032807487979
33900,1.04,0.714686503700007
34000,1.04,0.716263156454341
34100,1.04,0.717469409788943
34200,1.04,0.718908768081129
34300,1.04,0.720005764044063
34400,1.04,0.721054565021676
34500,1.04,0.722055256457176
34600,1.04,0.723008317441337
34700,1.04,0.723913825764601
34800,1.04,0.724561874043847
34900,1.04,0.725384788014024
35000,1.04,0.726160566130031
35100,1.04,0.726711669986745
35200,1.04,0.727236521255307
35300,1.04,0.727895617472424
35400,1.04,0.728359506761631
35500,1.04,0.728797390850082
35600,1.04,0.729209339658126
35700,1.04,0.729595421034317
35800,1.04,0.729955700706991
35900,1.04,0.730290242236885
36000,1.04,0.730599106970776
36100,1.04,0.730882353996131
36200,1.04,0.731140174000389
36300,1.04,0.73137235211042
36400,1.04,0.731579075792079
36500,1.04,0.731702774833869
36600,1.04,0.731867048286453
36700,1.04,0.732006128614479
36800,1.04,0.732084799237229
36900,1.04,0.732181760996429
37000,1.04,0.732232389409846
37100,1.04,0.73228733987712
37200,1.04,0.732309993536407
37300,1.04,0.732323027726546
37400,1.04,0.732317765820641
37500,1.04,0.732288966214719
37600,1.04,0.732255839488921
37700,1.04,0.732185275773738
37800,1.04,0.732124460644849
37900,1.04,0.732052390945103
38000,1.04,0.731923448111273
38100,1.04,0.731823599943378
38200,1.04,0.731712646723026
38300,1.04,0.731590591199015
38400,1.04,0.731386695664182
38500,1.04,0.731236892554042
38600,1.04,0.731075992124711
38700,1.04,0.730903994461277
38800,1.04,0.730720899047526
38900,1.04,0.730425445027297
39000,1.04,0.73021459900418
39100,1.04,0.729992648642557
39200,1.04,0.729759590681278
39300,1.04,0.729515286818843
39400,1.04,0.729260000985231
39500,1.04,0.728993594048623
39600,1.04,0.728716060258372
39700,1.04,0.728427527070377
39800,1.04,0.728127718719089
39900,1.04,0.727816762484767
40000,1.04,0.727494650085799
40100,1.04,0.727161372601976
40200,1.04,0.726816920472306
40300,1.04,0.726461283492925
40400,1.04,0.726094450815089
40500,1.04,0.72571641094325
40600,1.04,0.725327151733233
40700,1.04,0.725128310903561
40800,1.04,0.724722198492799
40900,1.04,0.724304833534453
41000,1.04,0.723876201601038
41100,1.04,0.723436287609336
41200,1.04,0.722985075819084
41300,1.04,0.722755228150708
41400,1.04,0.72228703870939
41500,1.04,0.72180750923657
41600,1.04,0.721316621683429
41700,1.04,0.720814357339439
41800,1.04,0.720558952842715
41900,1.04,0.720039719335718
42000,1.04,0.719508925693468
42100,1.04,0.719239237403612
42200,1.04,0.718691264430334
42300,1.04,0.718131811173071
42400,1.04,0.717560854939313
42500,1.04,0.717271055933131
42600,1.04,0.716682801232542
42700,1.04,0.716082983917081
42800,1.04,0.715778599562389
42900,1.04,0.715161390864502
43000,1.04,0.714532555764262
43100,1.04,0.714213770002909
43200,1.04,0.713567445074858
43300,1.04,0.713239898990961
43400,1.04,0.712576021980661
43500,1.04,0.711900407895445
43600,1.04,0.711558190313448
43700,1.04,0.710864915438265
43800,1.04,0.710513850568966
43900,1.04,0.709802846719376
44000,1.04,0.70907998458136
44100,1.04,0.708714096698544
44200,1.04,0.707973387037908
44300,1.04,0.707598557031355
44400,1.04,0.706839925790348
44500,1.04,0.706456245934702
