"ntau","D","pe"
0,1,0
100,1,0
200,1,0
300,1,0
400,1,0
500,1,0
600,1,0
700,1,0
800,1,0
900,1,0
1000,1,0
1100,1,0
1200,1,0
1300,1,0
1400,1,0
1500,1,0
1600,1,0
1700,1,0
1800,1,0
1900,1,0
2000,1,0
2100,1,0
2200,1,0
2300,1,0
2400,1,0
2500,1,0
2600,1,0
2700,1,0
2800,1,0
2900,1,0
3000,1,0
3100,1,0
3200,1,0
3300,1,0
3400,1,0
3500,1,0
3600,1,0
3700,1,0
3800,1,0
3900,1,0
4000,1,0
4100,1,0
4200,1,0
4300,1,0
4400,1,0
4500,1,0
4600,1,0
4700,1,0
4800,1,0
4900,1,0
5000,1,0
5100,1,0
5200,1,0
5300,1,0
5400,1,0
5500,1,0
5600,1,0
5700,1,0
5800,1,0
5900,1,0
6000,1,0
6100,1,0
6200,1,0
6300,1,0
6400,1,0
6500,1,0
6600,1,0
6700,1,0
6800,1,0
6900,1,0
7000,1,0
7100,1,0
7200,1,0
7300,1,0
7400,1,0
7500,1,0
7600,1,0
7700,1,0
7800,1,0
7900,1,0
8000,1,0
8100,1,0
8200,1,0
8300,1,0
8400,1,0
8500,1,0
8600,1,0
8700,1,0
8800,1,0
8900,1,0
9000,1,0
9100,1,0
9200,1,0
9300,1,0
9400,1,0
9500,1,0
9600,1,0
9700,1,0
9800,1,0
9900,1,0
10000,1,0
10100,1,0
10200,1,0
10300,1,0
10400,1,0
10500,1,0
10600,1,0
10700,1,0
10800,1,0
10900,1,0
11000,1,0
11100,1,0
11200,1,0
11300,1,0
11400,1,0
11500,1,0
11600,1,0
11700,1,0
11800,1,0
11900,1,0
12000,1,0
12100,1,0
12200,1,0
12300,1,0
12400,1,0
12500,1,0
12600,1,0
12700,1,0
12800,1,0
12900,1,0
13000,1,0
13100,1,0
13200,1,0
13300,1,0
13400,1,0
13500,1,0
13600,1,0
13700,1,0
13800,1,0
13900,1,0
14000,1,0
14100,1,0
14200,1,0
14300,1,0
14400,1,0
14500,1,0
14600,1,0
14700,1,0
14800,1,0
14900,1,0
15000,1,0
15100,1,0
15200,1,0
15300,1,0
15400,1,0
15500,1,0
15600,1,0
15700,1,0
15800,1,0
15900,1,0
16000,1,0
16100,1,0
16200,1,0
16300,1,0
16400,1,0
16500,1,0
16600,1,0
16700,1,0
16800,1,0
16900,1,0
17000,1,0
17100,1,0
17200,1,0
17300,1,0
17400,1,0
17500,1,0
17600,1,0
17700,1,0
17800,1,0
